GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_027475565.2	39293098	GCF_027475565.1	39486318	
GCA_903995435.1	21789358	GCF_903995435.1	36641058	
GCA_002007445.3	32756348	GCF_002007445.2	32756368	
GCA_016432865.2	36981438	GCF_016432865.1	37165688	
GCA_947179515.1	37011728	GCF_947179515.1	37302078	
GCA_011762505.1	18124138	GCF_011762505.1	19562748	
GCA_903992535.2	26733828	GCF_903992535.2	27360728	
GCA_009873245.3	22448568	GCF_009873245.2	22588588	
GCA_000247795.2	1421958	GCF_000247795.1	3933778	
GCA_003369695.2	7969888	GCF_003369695.1	8054268	
GCA_002263795.3	33429948	GCF_002263795.2	33429968	
GCA_019923935.1	28791618	GCF_019923935.1	30093448	
GCA_023091745.2	37900888	GCF_023091745.1	38125568	
GCA_011100555.2	26492428	GCF_011100555.1	41093638	
GCA_000803125.3	14240658	GCF_000803125.2	14406718	
GCA_009834535.1	15738348	GCF_009834535.1	16374438	
GCA_003254725.2	22055618	GCF_003254725.2	33886048	
GCA_000002285.4	22464168	GCF_000002285.5	23445278	
GCA_001704415.2	34702798	GCF_001704415.2	34702828	
GCA_019320065.1	28024148	GCF_019320065.1	28655928	
GCA_910594005.1	27797128	GCF_910594005.1	28933968	
GCA_015220235.1	22893318	GCF_015220235.1	23223548	
GCA_022682495.1	32425538	GCF_022682495.1	41093478	
GCA_019393635.1	28176538	GCF_019393635.1	29000608	
GCA_024166365.1	34530248	GCF_024166365.1	34886518	
GCA_016077325.2	29568328	GCF_016077325.2	29658438	
GCA_002863925.1	5843558	GCF_002863925.1	5863628	
GCA_021613505.1	31266568	GCF_021613505.1	31747978	
GCA_018350175.1	26707928	GCF_018350175.1	29725788	
GCA_008122165.1	13447828	GCF_008122165.1	13973658	
GCA_016433145.1	24462978	GCF_016433145.1	29566608	
GCA_016881025.1	25031608	GCF_016881025.1	25532868	
GCA_020740685.1	29951858	GCF_020740685.1	30047038	
GCA_020740605.1	29951878	GCF_020740605.2	30504118	
GCA_018350155.1	26707938	GCF_018350155.1	30460958	
GCA_902655055.2	21712228	GCF_902655055.1	32627778	
GCA_007474595.2	20354128	GCF_007474595.2	21843908	
GCA_012559485.3	30152968	GCF_012559485.2	30234828	
GCA_003339765.3	8740558	GCF_003339765.1	8775378	
GCA_024542745.1	35125148	GCF_024542745.1	35300378	
GCA_008632895.1	14068078	GCF_008632895.1	14639738	
GCA_922984935.1	30643598	GCF_922984935.1	30942488	
GCA_000165445.3	4096748	GCF_000165445.2	4121788	
GCA_000317375.1	504458	GCF_000317375.1	753838	
GCA_021288785.3	38795888	GCF_021288785.2	41494438	
GCA_000002295.1	279808	GCF_000002295.2	237648	
GCA_900094665.2	4428938	GCF_900094665.2	41563678	
GCA_900095145.2	4428958	GCF_900095145.1	4487688	
GCA_009829155.1	15730418	GCF_009829155.1	15887268	
GCA_020171115.1	29102078	GCF_020171115.1	29368188	
GCA_002201575.2	29669218	GCF_002201575.2	29844128	
GCA_006542625.1	11597548	GCF_006542625.1	13631498	
GCA_027406575.1	39156468	GCF_027406575.1	39893818	
GCA_014633375.1	22229678	GCF_014633375.1	22416758	
GCA_903995425.1	21789338	GCF_903995425.1	22166688	
GCA_937001465.1	33647558	GCF_937001465.1	34501458	
GCA_004115215.4	22940018	GCF_004115215.2	25321828	
GCA_009806435.2	24837048	GCF_009806435.1	37120158	
GCA_016772045.1	24832408	GCF_016772045.1	27481198	
GCA_013052645.1	19606358	GCF_013052645.1	19638978	
GCA_002880755.3	5907448	GCF_002880755.1	6084388	
GCA_018350215.1	26708008	GCF_018350215.1	28185028	
GCA_018350195.2	27963788	GCF_018350195.1	28191738	
GCA_023721935.1	33920548	GCF_023721935.1	34826708	
GCA_008728515.1	14216798	GCF_008728515.1	14362028	
GCA_023159225.1	33010138	GCF_023159225.1	33225548	
GCA_004664715.2	22448328	GCF_004664715.2	22709168	
GCA_003704035.3	22735128	GCF_003704035.1	27394048	
GCA_016906955.1	25036138	GCF_016906955.1	32734468	
GCA_008692025.1	14079358	GCF_008692025.1	16682018	
GCA_004126475.3	19523818	GCF_004126475.2	21807508	
GCA_002837175.2	8716388	GCF_002837175.2	8758838	
GCA_002776525.5	40779978	GCF_002776525.5	40779998	
GCA_028885655.1	41103458	GCF_028885655.1	41470258	
GCA_028885625.1	41102998	GCF_028885625.1	41494988	
GCA_016509475.2	28100568	GCF_016509475.1	28628198	
GCA_022837055.1	32622228	GCF_022837055.1	32847668	
GCA_015227675.2	24462838	GCF_015227675.2	24464048	
GCA_011064425.1	17349558	GCF_011064425.1	17589068	
GCA_004115265.3	22902458	GCF_004115265.2	35778158	
GCA_007565055.1	12697768	GCF_007565055.1	13709688	
GCA_902635505.1	15441038	GCF_902635505.1	15648578	
GCA_902686445.2	21712188	GCF_902686445.1	32592718	
GCA_024139225.1	34529468	GCF_024139225.1	34907378	
GCA_006229205.1	11602568	GCF_006229205.1	11840368	
GCA_000003025.6	4121818	GCF_000003025.6	4192498	
GCA_015852505.1	23714148	GCF_015852505.1	24213648	
GCA_003255815.1	6694698	GCF_003255815.1	6722658	
GCA_011100635.1	17408528	GCF_011100635.1	22475158	
GCA_011762595.1	18125728	GCF_011762595.1	18828668	
GCA_018345385.1	26697278	GCF_018345385.1	26784078	
GCA_009762305.2	20353938	GCF_009762305.2	21092758	
